Metric,P_Value,Formatted_P,Significance,Direction
BLEU-1,3.896340037647931e-18,3.90e-18,Sig,(+)
BLEU-2,3.896559845095909e-18,3.90e-18,Sig,(+)
BLEU-3,3.896559845095909e-18,3.90e-18,Sig,(+)
BLEU-4,3.896559845095909e-18,3.90e-18,Sig,(+)
ROUGE-1,4.0161556854627e-18,4.02e-18,Sig,(+)
ROUGE-2,3.896559845095909e-18,3.90e-18,Sig,(+)
ROUGE-L,3.896559845095909e-18,3.90e-18,Sig,(+)
METEOR,5.596247901468035e-18,5.60e-18,Sig,(+)
CIDEr,3.896559845095909e-18,3.90e-18,Sig,(+)
BERTScore,3.896559845095909e-18,3.90e-18,Sig,(+)
CLIPScore,5.816713162471362e-17,5.82e-17,Sig,(+)
RefCLIPScore,2.483725635893387e-17,2.48e-17,Sig,(+)
Distinct-1,5.269204481546392e-18,5.27e-18,Sig,(-)
Distinct-2,4.670683307897806e-18,4.67e-18,Sig,(-)
